fname,media_id,url,clarifai_labels,google_labels
702714441,0,0,23,92.84,99,1,25.77,11.5,34.78,91.3,0,0,0,0,0,0,4.35,0,0,17.39,13.04,0,0,0,0,0,0,43.48,0,0,4.35,4.35,0,0,0,0,0,0,8.7,0,8.7,0,13.04,8.7,0,0,4.35,21.74,13.04,4.35,8.7,0,0,4.35,0,4.35,0,4.35,0,8.7,17.39,0,0,0,0,0,0,0,0,0,0,0
702714442,1,1,30,92.84,95.2,3.37,25.77,15,26.67,70,0,0,0,0,0,0,6.67,0,0,3.33,3.33,0,0,0,0,0,0,16.67,0,0,3.33,3.33,0,0,0,0,0,0,0,0,0,0,3.33,3.33,0,0,0,3.33,3.33,0,0,0,0,6.67,0,10,0,10,0,16.67,20,0,16.67,0,0,0,0,0,0,0,0,0
702714444,0,0,35,89.6,61.26,1,25.77,17.5,48.57,42.86,2.86,0,0,0,0,2.86,2.86,2.86,0,0,0,8.57,2.86,2.86,0,0,2.86,5.71,0,0,2.86,0,0,0,0,0,0,0,2.86,2.86,0,0,8.57,8.57,0,0,0,2.86,0,0,0,2.86,0,2.86,0,2.86,0,0,2.86,2.86,8.57,0,5.71,0,0,0,0,0,0,0,0,0
702714447,2,0,31,92.84,97.31,1,1,15.5,25.81,51.61,0,0,0,0,0,0,6.45,3.23,0,3.23,0,6.45,0,6.45,0,0,6.45,19.35,0,0,6.45,3.23,0,0,0,0,0,0,6.45,6.45,0,0,6.45,6.45,0,0,0,3.23,0,0,3.23,0,0,6.45,0,6.45,0,6.45,0,3.23,0,3.23,0,0,3.23,0,0,0,0,0,0,0
702714448,1,1,24,92.84,99,23.51,92.4,12,37.5,75,0,0,0,0,0,0,4.17,4.17,0,0,0,4.17,4.17,0,0,0,0,25,0,0,8.33,4.17,0,0,0,0,0,0,4.17,0,0,4.17,12.5,4.17,8.33,0,0,4.17,4.17,0,0,0,0,4.17,0,16.67,8.33,0,8.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0
702714450,0,0,23,92.84,95.89,1,93.61,11.5,39.13,56.52,0,0,0,0,0,0,4.35,4.35,0,4.35,0,4.35,4.35,0,0,0,0,17.39,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,0,8.7,0,4.35,4.35,0,4.35,4.35,0,0,0,0,0,8.7,13.04,0,4.35,0,0,0,0,0,0,0,0,0
702714456,0,0,26,92.84,98.93,63.54,89.84,13,57.69,76.92,0,0,0,0,0,0,15.38,0,0,0,0,3.85,3.85,0,0,0,0,23.08,0,0,3.85,3.85,0,0,0,0,0,0,3.85,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,23.08,0,23.08,0,19.23,3.85,7.69,3.85,0,0,0,0,0,0,0,0,0
702714458,0,0,37,92.84,70.57,1,75.85,18.5,16.22,43.24,5.41,0,2.7,0,0,2.7,5.41,2.7,2.7,2.7,2.7,2.7,2.7,0,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,13.51,8.11,0,0,18.92,13.51,0,0,5.41,2.7,2.7,0,0,0,0,0,0,2.7,0,2.7,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0
702714459,1,1,26,92.84,98.93,1.4,99,13,46.15,80.77,0,0,0,0,0,0,7.69,0,0,0,3.85,7.69,7.69,0,0,0,0,23.08,0,0,3.85,3.85,0,0,0,0,0,0,11.54,7.69,3.85,0,3.85,3.85,0,0,0,7.69,7.69,0,0,0,0,3.85,0,7.69,3.85,3.85,0,7.69,26.92,11.54,0,0,0,0,0,0,0,0,0,0
702714463,1,1,33,92.84,81.84,1,99,16.5,51.52,42.42,0,0,0,0,0,0,3.03,6.06,0,0,0,12.12,9.09,3.03,0,0,0,9.09,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,9.09,0,3.03,0,6.06,0,3.03,0,3.03,0,3.03,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0
702714472,3,3,44,92.84,99,1,99,22,27.27,70.45,0,0,0,0,0,0,4.55,4.55,0,2.27,0,15.91,13.64,0,0,0,0,29.55,2.27,0,11.36,0,0,0,0,0,0,0,9.09,4.55,2.27,0,25,20.45,0,0,4.55,4.55,2.27,0,2.27,0,0,2.27,0,0,0,0,0,0,11.36,2.27,0,0,0,0,0,0,0,0,0,0
702714480,0,0,31,92.84,99,1,99,15.5,41.94,67.74,0,0,0,0,0,0,3.23,6.45,0,3.23,0,12.9,12.9,0,0,0,0,35.48,3.23,0,12.9,3.23,0,0,0,0,0,0,6.45,6.45,0,0,9.68,6.45,0,0,0,19.35,16.13,0,3.23,0,0,3.23,0,3.23,0,0,3.23,6.45,3.23,3.23,3.23,0,0,0,0,0,0,0,0,0
702714482,0,0,22,92.84,99,1,1,11,36.36,77.27,0,0,0,0,0,0,4.55,4.55,0,4.55,4.55,4.55,0,4.55,0,0,0,31.82,0,0,9.09,4.55,0,0,0,0,0,0,9.09,4.55,4.55,0,9.09,4.55,4.55,0,0,9.09,4.55,0,4.55,0,0,4.55,0,4.55,0,4.55,0,0,18.18,4.55,0,0,0,0,0,0,0,0,0,0
702714484,1,1,23,92.84,99,2.02,25.77,11.5,43.48,56.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.09,0,0,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,0,0,0,0,8.7,0,4.35,0,17.39,0,0,8.7,0,0,0,0,0,0,0,0,0
702714487,0,0,26,88.28,87.57,1,99,13,57.69,61.54,3.85,0,0,0,0,3.85,3.85,0,0,0,0,11.54,11.54,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,11.54,11.54,0,0,3.85,3.85,0,0,0,15.38,11.54,3.85,0,3.85,0,3.85,0,3.85,0,0,3.85,3.85,19.23,0,0,0,0,0,0,0,0,0,0,0
702714488,1,1,43,94.84,59.18,1,95.29,21.5,30.23,27.91,2.33,0,2.33,0,0,0,4.65,4.65,2.33,0,2.33,4.65,4.65,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,4.65,4.65,0,0,0,0,0,0,0,2.33,2.33,0,0,0,0,2.33,0,6.98,0,6.98,0,2.33,0,6.98,0,0,0,0,0,0,0,0,0,0
702714489,0,0,44,90.34,75.24,1,25.77,22,34.09,68.18,2.27,0,0,0,2.27,0,2.27,2.27,0,2.27,0,2.27,0,0,0,0,0,6.82,0,0,0,0,4.55,4.55,0,0,0,0,20.45,11.36,2.27,2.27,34.09,31.82,2.27,0,0,0,0,0,0,0,0,0,0,2.27,0,0,2.27,2.27,2.27,0,0,0,0,0,0,0,0,0,0,0
